Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 15:10:53,pte.ortiz km5,En mi casa de km5 X la lluvia fuerte y el viento se me cayó el techo de el comedor y todo el techo quedó flojo X el agua y se quebro uno de los tirantes y lo ate con alambre el barro q se acumuló es un peligro xq se puede caer en cualkier momento y yo tengo dos hijos chicos de 7 y 8 años y la puerta X se rompió X el viento y la trabó como puedo xq estoy sin trabajo y ago changas para sobrevivir y necesito .si me pueden ayudar o dar una respuesta se los agradecería desde ya muchas gracias .,
4/3/2017 15:10:58,San Cayetano,"Socabado de vereda con 1,50 a 2 mts de profundidad",
4/3/2017 15:11:08,Jose Fuch,Se nos rompió techos de 2 dormitorios necesitamos chapas canaletas 7 chapas de 2mts y cemento 6 bolsas aprox. Rollo de membranas 4,
4/3/2017 15:11:10,Newberi,Colchones heladeras y lavarropa se destrulleron somo 6 2 adultos y 4 niñod,
4/3/2017 15:11:16,Petroleros Privados ,filtraciones de agua por techo y paredes,
4/3/2017 15:11:25,Las Flores,derumbe ,
4/3/2017 15:11:37,Isodro Quiroga,Perdida total ,
4/3/2017 15:11:40,Maximo Abasolo ,Chapas tirante cemento  y para el baño tengo baño afuera y se me inundo ,
4/3/2017 15:11:56,San Cayetano ,Tengo abierto el techo y parte de las paredes . Necesito nailon chapas ,
4/3/2017 15:12:01,Maximo abasolo por zona quinta dos,"Se derrumbo toda la calle, al igual q al costado d mi casa derrumbo tierra. Corro peligro xq se puede caer la casa d mi vecino arriba d mi casa. Y la parte d adelante d mi casa se hizo un sanjon muy profundo el cual se come tierra y peligra mi casa. Por el sanjon d la calle pasa mucha agua con corriente. La casa d al lado d mi vecino qedo en el aire tubieron q evacuar. Vivo en la extension d Eva peron(abasolo) por zona quinta dos. Por favor venga a ver la situacion mia y d mis vecinos. Gracias. ",
4/3/2017 15:12:07,Jose Fuchs,"SE ME INUNDO CON BARRO EL COMEDOR Y DORMITORIOS , SE ME MOJO ROPA DE MI HIJA Y CALZADOS , SE ME FILTRARON LAS PAREDES Y SE FILTRO EL TECHO PROVOCANDO QUE SE MOJE  TELEVISOR, PLANCHA, ROPA , CAMA, SE ME INUNDO TODO EL PATIO Y ENTRO EL AGUA ADENTRO DE LA CASA, SE CAYO EL CIELO RAZO DE LA COCINA Y DEL LAVADERO .  SE PROVOCO EN LA COCINA UN A EXPLOSION EN UN FOCO QUE QUEDO TODO QUEMADO EN EL MOMENTO QUE ESTABA AFUERA Y GRACIAS A DIOS NO SE PRENDIO FUEGO , SE ME MOJO UN PUF (SILLON), MESAS DE LUZ, BAUL . ETC .-  ",
4/3/2017 15:12:16,Restinga Ali,"Caida del techo filtracion de agua por el techo ,el agua llego al nivel de los zocalos ",
4/3/2017 15:12:24,Las Flores ,Se derrumbó pArte del cerro hacia la vivienda se solicita máquina para sacar el barro q está contra la vivienda junto con el paredón y ver la casa de chapa q qdo destruida  le entro agua con barro en toda la casa 60 centimetros.es  una abuela de 90 años y vive sola y perdió todo,
4/3/2017 15:12:38,Km3,Humedad en las paredes y colchon mojado con hongos,
4/3/2017 15:12:41,Pueyrredon,"Paredes, pisos, todas las aberturas  y electrodomesticos ",
4/3/2017 15:12:48,Stella maris,Pieza totalmente mojada,
4/3/2017 15:12:49,Standart norte ,"Rotura de cielo raso en habitación, baño y cocina. Electrodomésticos y muebles mojados (heladera, freezer, lavarropas, camas, placares, muebles auxiliares, biblioteca, mesa, sillas, etc). Artículos electrónicos (disco externos, computadora, transformadores varios, etc). Herramientas eléctricas (agujereadora, atornillador, amoladora, caladora, etc). Elementos de blanqueria (acolchados, sábanas, cortinas, almohadas, etc). Alimentos no perecederos. Posteriormente alimentos que necesitan frío ( de la heladera y del freezer).",
4/3/2017 15:13:10,Stella Maris,"Perdida de ropa de la niñas,frazadas,almohadas, se mojaron los muebles 35cm aproximadamente placar mesa del televisor y un somier usado",
4/3/2017 15:13:34,Stella Maris.,"Membrana liquida.para tapar goteras en 10mts de techo.
Tierra para relleno de patio.
Enduido e impermeabilizante para interior.
Ayuda para conexión electrica de 
Tres habitaciones.
Informo que la humedad filtro
Tengo que hacer cambio d papel.
Pintura,cambio de varias piezas d durlok
Del techo..",
4/3/2017 15:13:39,San Cayetano,Perdi muebles se me undio techo que entre vecinos trataron areglarmelo perdi ropa calzado colchones frazaadas,
4/3/2017 15:13:44,Pueyrredon,Pérdida total del mobiliario... interno y externo...electrodomésticos todos,
4/3/2017 15:13:49,Cordon Forestal ,"Ingresó de agua, cocina y heladera mojadas, paredes húmedas destruidas",
4/3/2017 15:14:02,Juan XXIII,"Destruccion total. Se perdio heladera 2 camas cocina mesa silla  2 modulares 2 placares grandes lavarropa calefactores se levanto el piso, filtracion de paredes. Todo es cloaca",
4/3/2017 15:14:06,Pueyrredon,"Muebles de madera (ropero y chifonier), cama con colchon (única de la vivienda) heladera, vestimenta varia, televisor, viveres y alimentos. 
Descripción: ingreso de agua y lodo a la vivienda . 
Requerimiento: envio de bomba de agua para extraer del interior de la vivienda",
4/3/2017 15:14:11,Juan XXIII,"Calle llena de barro, por favor pasar con una maquina, ",
4/3/2017 15:14:18,Juan XXIII,"Inundacion. Solicitamos maquinarias necesarias para limpieza de calle, cloacas y patios. No podemos sacar el agua de adentro de los hogares, necesitamos limpieza.",
4/3/2017 15:14:20,Rene Favaloro km 14, Techo de chapa despegado rotura de ventana .,
4/3/2017 15:14:40,Juan XXIII,Casa inundada con lodo. Necesitaria una bomba y dsp un camion chupa,
4/3/2017 15:14:44,Isidro Quiroga,Perdida total,
4/3/2017 15:14:49,San Martin,Cedimiento de terreno provocó el derrumbe de la medianera lateral de bloques hacia el terreno vecino,
4/3/2017 15:14:56,Jose Fuch,"Se nos rompió los techos de los dormitorios necesitamos 7  chapas canaletas 6 bolsas de cemento 4 rollos de membrana desde ya muchas gracias necesitamos arreglar mi espso es albañil el hará los arreglos pero no tenemos como comprarlos  es urgente antes q nos agarre el invierno
",
4/3/2017 15:14:58,Pueyrredon,"Debido a la entrada de barro y agua casi 50 cm dentro y fuera de la casa se estropeo amoblamiento de cocina, banitori, Cielo raso, chapas del techo, paredes, heladera, mesa sillas sillones, mueble rack, puertas placas de madera, escalera de madera, entre otros artefactos electricos a verificar cuando pueda encender la energia electrica.",
4/3/2017 15:15:07,Pueyrredon,Daño de muebles colchón placard heladera lavaropas  automovil dentro del hogas un metro de agua 50 cm de barro perdida de ropa,
4/3/2017 15:15:35,Barcelo,Pérdida total,
4/3/2017 15:16:07,Isidro Quiroga,Perdida total,
4/3/2017 15:16:17,Abel Amaya ,la lluvia me rompió las paredes del baño.se salieron los azulejos y parte de las paredes quedo con la madera puesta nomas ,
4/3/2017 15:16:20,Roca,"Pisos, automóviles patio necesitamos un chupa o vactor y maquinas escabadoras ",
4/3/2017 15:16:59,Isidro Quiroga,Perdida total,
4/3/2017 15:17:09,Roca,Mi hogar entro agua ,
4/3/2017 15:17:17,Pueyrredon,"Daño en cloacas y cañerías y el agua que entró no daño ningún artefacto. No así la casa que tengo al fondo también de mi propiedad dónde vive mi hija ,que cuenta con pérdida total, contamos con fotos con un nivel de agua de 80 cm, que cuando lo crean pertinente, podremos adjuntar. Con un camión chupa, pudimos retirar el agua, lodo. Pero no hay nada que sirva. Por lo que puedan hacer gracias. ",
4/3/2017 15:17:25,Las Flores ,Derrumbe de paredon de 14 metros de largo ,
4/3/2017 15:17:28,Restinga Ali,Varios ,
4/3/2017 15:17:35,Laprida,E tenido daños materiales x corto circuito entro agua en casa perdida de ropa  yo alquilo filtro el agua x las paredes techo estamos con humedad ,
4/3/2017 15:17:39,Laprida,"Se derrumbo el techo con peligro de derrumbe los otros 2 y baño clausurado x la misma situación, la casa se llovio todo x dentro y filtro x los pisos.",
4/3/2017 15:17:39,Pietrobelli,Coclchones mojados paredes humedas techo pasafos por agua,
4/3/2017 15:17:51,San Cayetano,"Se me inundó la casa perdí el somier, placard, equipo de música, colchón, frazadas, chifonier, 2 mesas de luz, el bajo mesada, ropa,zapatos. Televisor, el dvd.",
4/3/2017 15:17:53,Las Flores ,Perdi el techo devido ala fuente lluvia. Por la fuerte lluvia del dia miércoles en el techo se isieron demaciadas goteras la chapa jarbol se mojo entera y el techa ya no sorve . tenego una beba de dos meses y no podemos estar alli debido a que corre peligro de que se nos caiga encima en techo. ,
4/3/2017 15:17:56,Laprida,Cayo el cerro en mi patio parte de una casa .. vivo en un pasaje en la esquina no hay calle se abrio una zanja no pueden pasar vehiculos.,
4/3/2017 15:18:14,Juan XXIII ,"Ingreso de lodo y agua cloacal a la casa galpón y garage de 80cm con pérdida de muebles colchones y ropa, el vehículo familiar quedó con lodo en el interiorllevamos 5 días sin poder sacar nada de agua y barro porque las boca de tormenta se taparon y la cloaca no funciona el barro en calle supera el metro no pueden ingresar máquinas para limpiar ni chupa para ayudar a sacar el agua la vivienda completamente húmeda y destruida se empezó empezó levantar el piso ",
4/3/2017 15:18:48,Centro,"Mi casa esta ubicada sobre un cerro la cual mi casa es la ultima de la calle, el terreno está cediendo y la  casa en peligro de derrumbarse. Frente la casa hay unos árboles gigantes y viejos que están por caer por la gran lluvia y pueden llegar a caer arriba de mi casa. Somos 2 mujeres viviendo en cas.",
4/3/2017 15:18:48,Máximo Abasolo,Derrumbe de calle asfaltada,
4/3/2017 15:18:58,Restinga Ali,"Perdida alimentos,cama,placart,colchon,heladera..medicamentos diabetis",
4/3/2017 15:18:58,Loma,"Inundado un dormitorio y el patio, gotera en dormitorios. Solicito Cañista y albañil pata reparar ",
4/3/2017 15:19:00,30 de octubre,Pérdida de todo ,
4/3/2017 15:19:12,Juan XXIII,Sin salir de casa por el barro que impide la circulación.  Se necesitan maquinas urgente!!! Cloacas colapsadas. Sin agua.,
4/3/2017 15:19:14,Pte Ortiz km5,Solicitó asistencia X los daños que se produjeron en mi casa X la lluvia se me cayó el techo del comedor se partió uno de los tirantes y lo ate con alambre para q resista pero en cualkier momento se va caer y yo estoy sin trabajo y ago changas para sobrevivir tengo 2 hijos de 7 y 6 años y es un peligro para ellos y la puerta se rompió X el viento y la lluvia y es de chapa y la trabó como puedo es un peligro igual X los ladrones .espero una respuesta gracias ,
4/3/2017 15:19:19,Pueyrredon ,Pérdida total!!! ,
4/3/2017 15:19:22,Jorge Newbery,Se desmoronó el terreno y cercos.,
4/3/2017 15:19:32,Pueyrredon ,"Inundación de casa ,líquido cloacal 50 cm destruccion total,habitaciones alfombradas 4 ,sillones ,colchones ,ropa , muebles ( mesadas, aparadores  ,heladeras ,frizzeres ,paredes ) son dos casas la de mi Tio abuelo y la nuestra ,total gente 8 habitantes 69 años, 53,48,45,27,25,21,19 años .",
4/3/2017 15:19:35,Stella Maris,"Debido al temporal los daños sufridos fueron en el interior de mi vivienda ya que entro mucha agua y se dañaron electrodomesticos, camas, colchones, ropa. En mi casa habito junto a mis dos hijos menores. Ante cualquier ayuda que me puedan brindar solicito q se comuniquen.Gracias",
4/3/2017 15:19:48,Pueyrredon,Heladera lavar ropa televisor ....todooo.....,
4/3/2017 15:19:49,Las Flores,"Tenemos un terreno en altura y este con la lluvia hizo ceder cierta parte del terreno, se encuentra comprometida una gran parte de la casa, ya que si llegara a ceder aun mas el terreno, la casa estaría cediendo también, si pudieran ayudarnos estaríamos muy agradecidos en esta casa viven menores de edad, desde ya, muchas gracias.",
4/3/2017 15:20:26,Pueyrredon ,Techo,
4/3/2017 15:20:32,Abel Amaya,Rotura de techo ,
4/3/2017 15:20:34,San Martín ,En techos y paredes ,
4/3/2017 15:20:46,Industrial,INUNDADA ,
4/3/2017 15:20:48,San Martin,Techos de 2 dormitorios caídos por la lluvia Y Paredes estropiadas por el barro ,
4/3/2017 15:21:14,Km3 Barrio Moreno ,"Daños en vivenda :
Planta alta: ingresó agua x el techo con lo cual se arruinó el techo y pintura de dos habitaciones. Como así tambié el colchón de un sommier.
En la planta baja ingreso agua x la cocina inundansose toda la cocina y parte del comedor y lavadero, arruinando pintura y dejando mucha humedad. 
Se inundó un gabinete el cual está destinado a termotanque y caldera. ",
4/3/2017 15:21:14,Prospero Palazzo,Goteras techos rotos etc,
4/3/2017 15:21:22,Juan XXIII ,Sin salir de casa por el barro que impide la circulación.  Se necesitan maquinas urgente!!! Cloacas colapsadas. Sin agua.,
4/3/2017 15:21:26,Moure,Pérdida de muebles electrodoméstico cocina ,
4/3/2017 15:21:27,Prospero palazzo,El departamento donde alquilo se me paso el agua inclusive filtraba por los focos provocamdo corte circuito se me mojaron los colchones ,
4/3/2017 15:21:34,Pietrobelli,Se calló un cerco atrás de la pared de mí casa tirandome una pared de La pieza completa y aplastada por el barro necesitaría ayuda ya sea en materiales como en ayuda para sacar todo el barro que aplasta a La misma ya que mí marido es incapacitado por problemas del corazón y yo tengo 65 años y problemas de salud... ,
4/3/2017 15:21:41,Km8 ,"Me llevo la casa completa no pude sacar Nadal y tenogo dos nenes chicos uno de 5meses y de 6anios n. Tengo
Nada",
4/3/2017 15:21:42,Km8 ,"Me llevo la casa completa no pude sacar Nadal y tenogo dos nenes chicos uno de 5meses y de 6anios n. Tengo
Nada",
4/3/2017 15:22:17,Argimiro Moure,Asistente social,
4/3/2017 15:22:29,Ruta 26,se inundo mi casa y perdi casi todo,
4/3/2017 15:22:36,La Floresta,"Desprendimiento de tierra de la base de la vivienda, dejando el cimiento de la casa sin ningun sosten. Provocando él peligro de derrumbe de la casa. Solicitamos  ayuda con materiales para la construccion de un muro de contencion para sostener la casa",
4/3/2017 15:22:47,Ceferino,Me entro agua  por el techo y se me mojo todo cama  heladera todo y se mojaron  los cables alcanzamos a cotar la luz  si me pueden ayudar se los agradezco y tengo un bb,
4/3/2017 15:22:49,Centro,"Deslizamiento del terreno en ladera Cerro chenque, con agrietamiento de vivienda",
4/3/2017 15:23:04,Abel Amaya ,Rotura de techo ,
4/3/2017 15:23:09,Km5 . Presidente Ortiz,Paredon de 1 metro .. relleno de dos pisos de dormitorios...cerco de 1 mt de bloques..contencion  de gaviotas de piedras del sanjon grl.belgrano del barrio km5.pte ortiz veredas de cemento que al construir el camino alrededor de mi casa ..me lo destruyeron y nunca lo terminaron..espero su llamado..y que esto no sea una mentira..,
4/3/2017 15:23:28,Maximo abasolo,Daños total,
4/3/2017 15:23:28,30 de Octubre,"Techo dañado, ventanas y un mueble dañado.",
4/3/2017 15:23:34,Quirno Costa,Filtración de techo perdida de colchon sommier de 2 plazas sillon flazadas y herladera y paredes con hongos,
4/3/2017 15:23:38,San Cayetano,Entro agua por el costado de una pared y techo producto de una ampliación de la Municipalidad la cual me dañaron esa esquina y nunca repararon..agua y perdida de una pared completa.,
4/3/2017 15:23:41,Abel Amaya,"Perdí una cama de dos plaza las paredes, y techo por humedad y agua el piso flotante se me salió las paredes de afuera se me cayó un durlock del techo del dormitorio de mi hijo",
4/3/2017 15:23:52,Rada Tilly,"Ningún daño edilicio, sólo corte de agua y electricidad en los momentos en qué afectó a toda la ciudad.",
4/3/2017 15:24:07,Laprida,"Roptura de caños de gas,no hay como entrar a la casa ya que la calle se cayó por completo,la f100 de mi papá cayó en ese pozo",
4/3/2017 15:24:15,Laprida ,"Necesitamos colchón y nailon , agua , alimentos ",
4/3/2017 15:24:17,Centro,Techos paredes y piso,
4/3/2017 15:24:18,Sarmiento,Entra agua x el techo de chapa se mojo todo el jarbo o como se escriba perdón y en el techo de loza se filtra x la membrana y le falta membrana en la mitad eso hace q llueva más adentro q afuera se me mojó toda la ropa y los muebles las paredes del lado de los vecinos no están rebocadas así q filtra agua ,
4/3/2017 15:24:19,Pueyrredón ,Pedida completa!! ,
4/3/2017 15:24:25,Los 3 pinos,Colchones frazadas ropa etc,
4/3/2017 15:24:48,Jorge Newbery,Se junta barro y anega toda la cuadra con unos 60 cm en virtud que la calle no tiene boca de tormenta. La calle pastor schneider tiene una pendiente de unos 45 grados y obviamente al chocar con calle 12 de octubre con un cordon cuneta de 20 cm es imposible contener el agua. Esta mal hecho la pendiente de la calle. Es una burrada las autoridades que inspecionar dicha obra. Su estudio sera muy importante. Saludos,
4/3/2017 15:24:49,Standart Centro,Caída del techo del baño e inundación de una habitacion.,
4/3/2017 15:25:01,Km5.pte ortiz,Paredon de 1 metro .. relleno de dos pisos de dormitorios...cerco de 1 mt de bloques..contencion  de gaviotas de piedras del sanjon grl.belgrano del barrio km5.pte ortiz veredas de cemento que al construir el camino alrededor de mi casa ..me lo destruyeron y nunca lo terminaron..espero su llamado..y que esto no sea una mentira..,
4/3/2017 15:25:32,30 de octubre   ,Cama colchon muebles  erramientas electronicas nebulizador  y auto ford escort 2001 lo tapo el aua lo lleno de barro,
4/3/2017 15:25:36,San Cayetano,Reventó la cloaca.todavía nadie viene a arreglar.por favor venir en cuanto puedan.en la inundación perdimos una cama,
4/3/2017 15:26:18,Las Flores,"Es casa de mi madre,se le lleno patio de agua y barro y dormitorios Inundo ,mi madre tiene 93 años la asistimos nosotros..",
4/3/2017 15:26:51,San Cayetano ,Perdida total tiene la casa llena de agua y lodo necesita de todo ,
4/3/2017 15:26:53,Pietrobelli (cerro),Casa en peligro de derrumbe ,
4/3/2017 15:27:02,Isidro Quiroga,Inundación.materiales,
4/3/2017 15:27:19,Juan XXIII,"Todos los electrodomesticos de la casa ...agua x 1,50mt de altura .colchon ..auto estacionado en el patio .",
4/3/2017 15:27:26,San Martin,Cama colchon cocina,heladera ropa. Y muebles
4/3/2017 15:27:37,Pueyrredon,"CASA INHABITABLE PERDIDA TOTAL del INMUEBLE y su contenido, Paredes de toda la casa en la parte baja y media, debido al ingreso total de agua, barro y cloacas en toda la superficie de la casa, piso de baldosas cerámicas levantado en toda la casa, electricidad de toda la casa, baño completo, lavadero dormitorios, calefactor, cocina, mueble de cocina, horno de la cocina, bajo mesada, mesas sillas, heladera, sillon, camas y colchones, mesas de luz, ropa, calzado, objetos personales, adornos, etc etc.  La persona fue evacuada (mujer mayo de 60 años Jubilada) al domicilio de su hija el día Miércoles a las 20:00 hrs (teléfono que se deja para contactar) ",
4/3/2017 15:27:41,Laprida,"Nailon , colchón , el techo goteras  y rompio la.pared ",
4/3/2017 15:27:43,fraccion 14,Casa inundada con barro y agua.  Colchones mojados y cosas perdidas.  ,
4/3/2017 15:27:50,Las Flores,El pasaje quedo agrietado casi sin acceso,
4/3/2017 15:27:53,30 de octubre ,Colchón lavarropa heladera muebles ,
4/3/2017 15:27:53,Abel amaya,Lavarropa colchones frasadas heladera muebles,
4/3/2017 15:28:07,Los Bretes,"Sedimiento de terreno,abertura de paredes.",
4/3/2017 15:28:24,San cayetano,Techo de una pieza muy dañado y baño ,
4/3/2017 15:28:24,Maximo Abasolo,Se me mojaron los colchones camas. el agua destruyó el entre techo.techo los muebles.etc,
4/3/2017 15:28:51,Abel Amaya ,Se quemó la tele en la casa y en el local se cayó todo el durlok de la heladeria se me humedecieron todas las paredes y se salió toda la pintura se me quemaron las luces ,
4/3/2017 15:29:26,Standart norte km8 ,Se mojo el entretecho y quedo todo humedo hay que cambiarlo se esta descascarando todo,
4/3/2017 15:29:32,Pueyrredon,Más de 70 cm de agua adentro de casa se perdieron colchones camas lavar ropa heladera secaropas y un montón de cosas las ropa todo placares y muchas cosas mas,
4/3/2017 15:29:39,Industrial Km8 Don Bosco ,INDUNACION,
4/3/2017 15:29:50,Standar,"Cloaca dañada, no tenemos agua, se nos callo el techo del baño,necesitamos ripio no se puede transitar por el lodo dentro de la vivienda gracias",
4/3/2017 15:30:04,Pueyrredon,Perdida de camas ropa zapatillas heladera roperos muebles de cocina paredes de interior de la casa piso flotante de la habitacion auto inundado,
4/3/2017 15:30:21,Estandart,Colchones ,
4/3/2017 15:30:26,Estandart,Colchones ,
4/3/2017 15:30:43,30 de octubre ,Muebles heladera lavarropa,
4/3/2017 15:31:08,Pueyrredon,Moviliario destruido total casa a evaluar,
4/3/2017 15:31:09,San Cayetano ,Perdí todo pero todo las cosas de a dentro y fuera de la casa ,
4/3/2017 15:31:21,Pueyrredon,Tengo mi hija brenda yanina san martin con problemas de EPILEPSIA ESTA CON PROBLEMA DE DESCAPACIDAD,
4/3/2017 15:31:23,Centro,Ninguna,
4/3/2017 15:31:26,Pietrobelli ,Por las fuerte lluvia de dia miércoles y siguieron los siguientes dias jueves viernes y sabado la casa del vecino de atras de mi casa  se vino abajo   termino en mi patio trasero ocasionando daños a mi vivienda cayo su casa sobre mi piesa. y perdi la mayoria de mis cosas por el corte de luz. En el barrio paso de todo ,
4/3/2017 15:32:30,Astra,"Sin luz, sin agua, sin internet, sin teléfono fijo, ni celulares.",
4/3/2017 15:32:44,San Martin,Perdimos todo en la casa heladera cocina electrica telrvisores camas y. Me cedio mucho el terreno la casa se me hicieron grietas de 10cm aprox aparte de los agugeros Que tuve Que hacer para sacar agua y barro. De adentro de la casa,
4/3/2017 15:32:45,Sarmiento zona norte ,"Urgentemente agua potable, para el barrio",
4/3/2017 15:33:10,Jorge Newbery,Caída de techo .. sin alimento casa inundada jubliado de encuentra sólo!!!!,
4/3/2017 15:33:13,Los Bretes,Caida del cielorrazo humedad en la pared,
4/3/2017 15:33:35,Moure,Daños en los paneles de madera de las paredes por filtraciones y en el techo. Humedad. Daño de colchones y muebles,
4/3/2017 15:33:35,Pueyrredon,Mi casa es prefabricada las paredes se doblaron todas y los muebles dé me dañaron los colchones igual la cloaca esta tapada y la entrada de la casa esta llena de barro y no se puede entrar ,
4/3/2017 15:33:39,Pueyrredon,"Perdí todo,las dos heladeras, muebles, aparador ,camas,mesa,sillas,la pintura de las paredes,cocina,",
4/3/2017 15:34:10,La Floresta ,derrumbe de paredón de 3x12mts y techo ,
4/3/2017 15:34:47,Juan XXIII ,"Calle colapsada, entro agua y barro dentro de la casa, limpieza de fluviales y cloacas,  entró el agua de las cloacas. Necesitamos colchones, trazadas ,zapatillas del número( 26al43 ),y alimentos. ",
4/3/2017 15:35:06,Centro- balcon del paraiso3,"Agrietamento en frente de la casa, entrada de agua y barro, perdida de muebles , desprendimiento de cielo razo de cocina , pieza y baño.",
4/3/2017 15:35:09,Pueyrredon,Daños totales. ,
4/3/2017 15:35:12,Pietrobelli ,Caída de cerro al patio batea para sacar el barro y escombros. Caño de cloaca roto cn caída de  aguas servida a mi domicilio ,
4/3/2017 15:35:51,Quirno Costa ,Filtraciones en techo y pared.Caída de paneles de Durlock del techo.,
4/3/2017 15:35:53,Moure ,Se inundó la casa por  el techo.  Ya q esta hecha con retazos de chapa .  Necesito chapas y tirantes y harbor para reparar el techo dé mi casa . Gracias ,
4/3/2017 15:36:09,Máximo abasolo ,me entro agua en mi casa y humedad ,
4/3/2017 15:36:43,Laprida,"Calle rota, impide la salida y entrada a la vivienda. Se necesita rellenar muchos metros. No hay asistencia por parte de nadie",
4/3/2017 15:37:58,BARRIO DON BOSCO KM 8,INUNDACION,
4/3/2017 15:38:29,San cayetsno ,Goteras dormitorios cocinas filtro agua en la pieza y inundado patio y fondo del patio .abertura borde la vivienda .,
4/3/2017 15:39:11,La Floresta,Casa derrumbada hinabitable,
4/3/2017 15:39:31,Jorge Newbery,Sedimento del terreno,
4/3/2017 15:39:42,53 viviendas,"Se mojaron placares con ropa y heladera lavarropa sillas mesa ingreso agua a mi domicilio mojo alimentos e incluso nuestro auto nos quedamos hasta sin mobilidad no tengo para darle de comer a mis nenes tengo tres de 4,6.8",
4/3/2017 15:39:45,La Floresta ,"Se cayó  el paredón de 8 mts aprox, de material ,sobre el costado  de la casa,lo cual se ha partido  la casa, paredes  y techos ..y fisurado el piso. Ademas  de haberse mojado  todo,la heladera  no  funciona..",
4/3/2017 15:39:54,Pueyrredon,"Perdidas totales de muebles, camas, heladera,lavarropas, cocina, calefactores, televisores, colchones, mesas y ropa",
4/3/2017 15:39:57,San Cayetano,Rotura de techo entra mucha agua ,
4/3/2017 15:40:01,La Floresta ,"Se cayó  el paredón de 8 mts aprox, de material ,sobre el costado  de la casa,lo cual se ha partido  la casa, paredes  y techos ..y fisurado el piso. Ademas  de haberse mojado  todo,la heladera  no  funciona..",
4/3/2017 15:40:08,Km 3 frente a hipertehuelche,La calle lateral a mi domicilio sufrió un agrietamiento dada la cantidad de agua que corría desde el cerro hacia la avenida Tehuelches. El portón de mi casa da a la parte posterior de dicha avenida ocasionando serios problemas en la entrada furiosa del agua. Ahora con la grieta que se abrió es necesario el trabajo de una máquina para solucionar dicho inconveniente. De todas maneras creo que hay mayor emergencia en otras zonas. Gracias.,
4/3/2017 15:40:08,La Loma,Caída de cielo raso.,
4/3/2017 15:40:26,Centro,"Puerta de entrada de madera,Heladera, muebles de cocina,mueble tv,placard,chifoniers,pisos flotante, zócalo.",
4/3/2017 15:40:46,Isidro Quiroga,"Se nos desmoronó 2 metros aproximadamente de terreno hacia el terreno del vecino de atrás, que se encuentra más abajo.",
4/3/2017 15:40:53,53 viviendas,"Se mojaron placares con ropa y heladera lavarropa sillas mesa ingreso agua a mi domicilio mojo alimentos e incluso nuestro auto nos quedamos hasta sin mobilidad no tengo para darle de comer a mis nenes tengo tres de 4,6.8",
4/3/2017 15:40:57,José Fuchs,"Filtraciones, ingreso de agua a domicilio.",
4/3/2017 15:41:08,Gesta Malvinas ladera sur,Roturas en techos con caída de agua con perdidas de alfombras en habitaciónes  y muebles.,
4/3/2017 15:41:16,Juan XXIII ,No tenemos nada la verdad quedamos con lo puesto,
4/3/2017 15:41:27,Quirno Costa,Secallo el techo del banio precario y sellovio el techo pido sipueden aser un banio grasia,
4/3/2017 15:41:28,Stella Maris,Contra piso. ,
4/3/2017 15:41:33,El Marquesado km 3,Piso de cocina y living. Por iingreso de agua.(roto y levantado) Filtración de agua por calle de atrás.,
4/3/2017 15:41:52,Sismografica,"por favor 1 maquina para sacar parte del cerro que esta sobre mi casa a punto de entrar a la casa!!,el barro destruyo las 2 habitaciones(quedamos con la platea sola)y paredes ",
4/3/2017 15:41:56,Abel Amaya,Se me cayo el cielo raso por goteras ,
4/3/2017 15:42:31,Pueyrredón,"Se me ha caído pedazos de techo debido a la cantidad de goteras que tuve durante el diluvio. Aún sigue cayendo pero polvo, y tengo a mi bebé de un año y medio el cual sufre de broncoespasmos. Recibí ayuda ya que me trajeron nylon y lo coloqué en el techo pero aún así no fue suficiente. Desde ya muchas gracias. ",
4/3/2017 15:42:32,Roca ,Perdida total,
4/3/2017 15:42:33,Centro,Batea,
4/3/2017 15:42:35,Isidro Quiroga,Tngo techo de losa. De lo cual entro agua por el techo y s desmonto todo el durlok del cielo raso. ..,
4/3/2017 15:43:06,Juan XXIII,"Somier,sillon,muebles 5, auto, sillas, mesa, alimentos, articulo de limpieza, ropa para embarazada y hombre adulto, desagote de cloaca que no baja. ",
4/3/2017 15:43:12,Médanos,Sólo humedad en las paredes,
4/3/2017 15:43:27,San Martín,Necesito materiales para construir o para reparar ya que se me inundaron las piezas de mis hijos y la mia y se nos mojaron las prendas de vestir y frasadas. Como tengo baño afuera tambien se inundo y se cayó una pared ya que mi vivienda al igual que el baño son de chapa.,
4/3/2017 15:43:45,San Cayetano,Se me yeno de agua toda a casa,
4/3/2017 15:43:56,San Cayetano ,"Se me goteo el techo de las piezas y se filtro agua enfrente de la cocina y comedor necesitaria chapas para el techo ,tirantes, alfagias ,para forrar jarjol ya q quedo todo el forro roto panceado y material para hacer una veredita para alfrente de la casa y no me vuelva entrar agua ",
4/3/2017 15:44:12,Pueyrredon,"Maquinas, daño general (heladera, cocina,lavarropas, muebles,colchones, alfombra,etcétera. ",
4/3/2017 15:44:24,Palazzo.petroleros.,"Necesito modificacion  del lomo de burro q esta frente la escuela 722,xq toda el agua q venia x la juanjose paso entro a mi casa a la alyura 2154.,se me mojaron dormitorios con barro toda la casa,en patio llego 90cm de altura.,debo cambiar pisos de alfombra.soy jubilado.,corregir altura de cordon cuneta. Tambien,xeso entro el agua.gracias.",
